Company name,Symbol,Sector
Abans Electricals,CSE: ABAN.N0000,Consumer Durables
Abans Finance,CSE: AFSL.N0000,Finance
Access Engineering,CSE: AEL.N0000,Industrial Services
ACL Cables,CSE: ACL.N0000,Producer Manufacturing
ACL Plastics,CSE: APLA.N0000,Process Industries
ACME Printing & Packaging,CSE: ACME.N0000,Producer Manufacturing
Agalawatte Plantations,CSE: AGAL.N0000,Process Industries
Agarapatana Plantations,CSE: AGPL.N0000,Process Industries
Agstar,CSE: AGST.N0000,Process Industries
Aitken Spence Hotel Holdings,CSE: AHUN.N0000,Consumer Services
Aitken Spence Plantation Managements,CSE: ASPM.N0000,Consumer Non-Durables
Aitken Spence,CSE: SPEN.N0000,Consumer Services
Alliance Finance Company,CSE: ALLI.N0000,Finance
Alpha Fire Services,CSE: AFS.N0000,Industrial Services
Alumex,CSE: ALUM.N0000,Non-Energy Minerals
Amana Bank,CSE: ABL.N0000,Finance
Amana Takaful,CSE: ATL.N0000,Finance
Amana Takaful Life,CSE: ATLL.N0000,Finance
Ambeon Capital,CSE: TAP.N0000,Technology Services
Ambeon Holdings,CSE: GREG.N0000,Commercial Services
AMW Capital Leasing & Finance,CSE: AMCL.N0000,Finance
Arpico Insurance,CSE: AINS.N0000,Finance
Asia Asset Finance,CSE: AAF.N0000,Finance
Asia Capital,CSE: ACAP.N0000,Finance
Asia Siyaka Commodities,CSE: ASIY.N0000,Distribution Services
Asian Hotels & Properties,CSE: AHPL.N0000,Consumer Services
Asiri Hospital Holdings,CSE: ASIR.N0000,Health Services
Asiri Surgical Hospital,CSE: AMSL.N0000,Health Services
Associated Motor Finance Company,CSE: AMF.N0000,Finance
B P P L Holdings,CSE: BPPL.N0000,Producer Manufacturing
Bairaha Farms,CSE: BFL.N0000,Process Industries
Balangoda Plantations,CSE: BALA.N0000,Process Industries
Bansei Royal Resorts Hikkaduwa,CSE: BRR.N0000,Consumer Services
Beruwala Resorts,CSE: BERU.N0000,Consumer Services
Blue Diamonds Jewellery Worldwide,CSE: BLUE.N0000,Consumer Durables
Bogala Graphite Lanka,CSE: BOGA.N0000,Producer Manufacturing
Bogawantalawa Tea Estates,CSE: BOPL.N0000,Non-Energy Minerals
Brown and Company,CSE: BRWN.N0000,Distribution Services
Browns Beach Hotels,CSE: BBH.N0000,Consumer Services
Browns Investments,CSE: BIL.N0000,Process Industries
Bukit Darah,CSE: BUKI.N0000,Producer Manufacturing
C M Holdings,CSE: COLO.N0000,Consumer Services
C T Holdings,CSE: CTHR.N0000,Consumer Services
C T Land Development,CSE: CTLD.N0000,Finance
C. W. Mackie,CSE: CWM.N0000,Producer Manufacturing
Capital Alliance,CSE: CALT.N0000,Finance
Cargills (Ceylon),CSE: CARG.N0000,Retail Trade
Cargills Bank,CSE: CBNK.N0000,Finance
Cargo Boat Development Company,CSE: CABO.N0000,Finance
Carson Cumberbatch,CSE: CARS.N0000,Distribution Services
Central Finance Company,CSE: CFIN.N0000,Finance
Central Industries,CSE: CIND.N0000,Producer Manufacturing
Ceylinco Insurance,CSE: CINS.N0000,Finance
