Firm_ID,Year,NIC,GVA
20MICRONS.NS,2026,24,1283760000.0
20MICRONS.NS,2025,24,1191170000.0
20MICRONS.NS,2024,24,1004039000.0
20MICRONS.NS,2023,24,789175000.0
360ONE.NS,2026,64,28223400000.0
360ONE.NS,2025,64,23043700000.0
360ONE.NS,2024,64,16995600000.0
360ONE.NS,2023,64,12881100000.0
3IINFOLTD.NS,2026,62,689100000.0
3IINFOLTD.NS,2025,62,469800000.0
3IINFOLTD.NS,2023,62,353000000.0
3PLAND.NS,2026,99,29800000.0
3PLAND.NS,2025,99,27800000.0
3PLAND.NS,2024,99,18292000.0
3PLAND.NS,2023,99,14608000.0
5PAISA.NS,2026,64,1010391000.0
5PAISA.NS,2025,64,1272438000.0
5PAISA.NS,2024,64,1058820000.0
5PAISA.NS,2023,64,831500000.0
21STCENMGM.NS,2025,64,195449000.0
21STCENMGM.NS,2024,64,329803000.0
3MINDIA.NS,2026,42,10001700000.0
3MINDIA.NS,2025,42,8398700000.0
3MINDIA.NS,2024,42,8370782000.0
3MINDIA.NS,2023,42,6721467000.0
A2ZINFRA.NS,2025,42,220561000.0
A2ZINFRA.NS,2024,42,58124000.0
AAKASH.NS,2026,19,163606000.0
AAKASH.NS,2025,19,117033000.0
AAKASH.NS,2024,19,177111890.0
AAKASH.NS,2023,19,148310591.0
63MOONS.NS,2024,62,2346898000.0
63MOONS.NS,2023,62,435693000.0
AADHARHFC.NS,2026,64,12892000000.0
AADHARHFC.NS,2025,64,10650000000.0
AADHARHFC.NS,2024,64,19520700000.0
AADHARHFC.NS,2023,64,14958700000.0
AAREYDRUGS.NS,2026,21,132690000.0
AAREYDRUGS.NS,2025,21,127112000.0
AAREYDRUGS.NS,2024,21,113509000.0
AAREYDRUGS.NS,2023,21,101941000.0
AARTECH.NS,2026,42,74480000.0
AARTECH.NS,2025,42,27859000.0
AARTECH.NS,2024,42,33647000.0
AARTECH.NS,2023,42,26706000.0
AAATECH.NS,2026,62,30819000.0
AAATECH.NS,2025,62,51679000.0
AAATECH.NS,2024,62,51569000.0
AAATECH.NS,2023,62,40474000.0
AARON.NS,2025,42,148929000.0
AARON.NS,2024,42,111658000.0
AARON.NS,2023,42,95033000.0
AARON.NS,2022,42,58092000.0
AARTIDRUGS.NS,2026,21,3115800000.0
AARTIDRUGS.NS,2025,21,3034200000.0
AARTIDRUGS.NS,2024,21,3204901000.0
AARTIDRUGS.NS,2023,21,3077995000.0
AARTIIND.NS,2026,24,11790000000.0
AARTIIND.NS,2025,24,10160000000.0
AARTIIND.NS,2024,24,9650500000.0
AARTIIND.NS,2023,24,10278500000.0
AARVI.NS,2026,42,245955000.0
AARVI.NS,2025,42,158687000.0
AARVI.NS,2024,42,148297000.0
AARVI.NS,2023,42,186639000.0
AARTIPHARM.NS,2026,21,3841591000.0
AARTIPHARM.NS,2025,21,4744899000.0
AARTIPHARM.NS,2024,21,3909420000.0
AARTIPHARM.NS,2023,21,3443692000.0
AARTISURF.NS,2026,24,472113000.0
AARTISURF.NS,2025,24,495996000.0
AARTISURF.NS,2024,24,621921000.0
AARTISURF.NS,2023,24,479480000.0
AAVAS.NS,2026,64,6251935000.0
AAVAS.NS,2025,64,5629640000.0
AAVAS.NS,2024,64,6625623000.0
AAVAS.NS,2023,64,5810512000.0
ABBOTINDIA.NS,2026,21,21802200000.0
ABBOTINDIA.NS,2025,21,19701800000.0
ABBOTINDIA.NS,2024,21,17013700000.0
ABBOTINDIA.NS,2023,21,13597800000.0
ABB.NS,2025,42,23948600000.0
ABB.NS,2024,42,26575800000.0
ABB.NS,2023,42,17910800000.0
ABB.NS,2022,42,14787700000.0
ABCOTS.NS,2026,29,424021000.0
ABCOTS.NS,2025,29,328626000.0
ABCOTS.NS,2024,29,273894000.0
ABCOTS.NS,2023,29,109329000.0
ABFRL.NS,2026,29,9270400000.0
ABFRL.NS,2025,29,16564300000.0
ABFRL.NS,2024,29,11546100000.0
ABFRL.NS,2023,29,16160200000.0
ABDL.NS,2026,10,5649746000.0
ABDL.NS,2025,10,4514282000.0
ABDL.NS,2024,10,2434076000.0
ABDL.NS,2023,10,1960597000.0
ABMINTLLTD.NS,2022,24,23633000.0
ABAN.NS,2025,19,3304900000.0
ABAN.NS,2023,19,628110000.0
ABINFRA.NS,2026,42,413994000.0
ABINFRA.NS,2025,42,341390000.0
ABINFRA.NS,2024,42,237510000.0
ABINFRA.NS,2023,42,150475000.0
ABLBL.NS,2026,29,13800300000.0
ABLBL.NS,2025,29,12539600000.0
ABREL.NS,2025,68,894400000.0
ABREL.NS,2024,68,4509800000.0
ABREL.NS,2023,68,7568200000.0
ACC.NS,2026,24,33869400000.0
ACC.NS,2025,24,42363100000.0
ACC.NS,2024,24,37969900000.0
ACC.NS,2022,24,15978600000.0
ACCELYA.NS,2025,62,2060560000.0
ACCELYA.NS,2024,62,1685264000.0
ACCELYA.NS,2023,62,2062982000.0
ACCELYA.NS,2022,62,1420901000.0
ACI.NS,2026,24,2634780000.0
ACI.NS,2025,24,3098239000.0
ACI.NS,2024,24,5044426000.0
ACI.NS,2023,24,6743187000.0
ABSLAMC.NS,2026,64,13163500000.0
ABSLAMC.NS,2025,64,12900100000.0
ABSLAMC.NS,2024,64,10483800000.0
ABSLAMC.NS,2023,64,8320800000.0
ACCURACY.NS,2026,42,310400000.0
ACCURACY.NS,2025,42,311540000.0
ACCURACY.NS,2024,42,242610000.0
ACCURACY.NS,2023,42,357380000.0
ACEINTEG.NS,2024,42,5400000.0
ACEINTEG.NS,2023,42,8500000.0
ACEINTEG.NS,2022,42,16800000.0
ACL.NS,2026,24,199900000.0
ACL.NS,2024,24,85000000.0
ACL.NS,2023,24,9457200000.0
ACE.NS,2026,42,6140100000.0
ACE.NS,2025,42,6060800000.0
ACE.NS,2024,42,4803430000.0
ACE.NS,2023,42,2620343000.0
ACMESOLAR.NS,2026,35,22677140000.0
ACMESOLAR.NS,2025,35,13845560000.0
ACMESOLAR.NS,2024,35,19746380000.0
ACMESOLAR.NS,2023,35,12724030000.0
ADANIENSOL.NS,2026,35,85070700000.0
ADANIENSOL.NS,2025,35,61235200000.0
ADANIENSOL.NS,2024,35,62641600000.0
ADANIENSOL.NS,2023,35,60658300000.0
