Company,What is the total electricity consumption from renewable sources?,What is the total energy consumed (in Joules)?,What is the gender diversity percentage among permanent employees?,What is the total volume of water withdrawn?,What are the total Scope 1 Greenhouse Gas emissions?
Company 0,0.0,5633398.22,0.0122,1856449.0,337.0
Company 1,3002.88,4893487.36,0.0788,12693.42,242656.83
Company 2,0.0,12175.36,0.0364,66591.0,460.86
Company 3,17960.27,194224.09,0.4984,443640.0,468.77
Company 4,0.0,12896.12,0.39,9805.0,195.29
Company 5,79967.88,124849890.93,0.0174,26943022.52,20098263.61
Company 6,252831.02,16587213.84,0.0141,6241902.45,1266483.61
Company 7,3911.18,298702.64,0.0872,566264.79,316.89
Company 8,157681.0,1283756.0,0.0278,524683.0,43676.0
Company 9,5300.56,94669.49,0.0746,11273.0,718.86
Company 10,1495989.0,50501905.0,0.2558,27756734.0,4467830.0
Company 11,0.0,0.0,0.144,0.0,
Company 12,99336.34,402471.35,0.1173,350860.66,9470.17
Company 13,50521.0,624303.0,0.1185,1034597.0,1868.0
Company 14,0.39,47.94,0.3176,0.0,
Company 15,,,0.1847,0.0,
Company 16,108343213.2,459212802.4,0.0146,538018.0,
Company 17,0.0,6942632.0,0.1027,0.0,
Company 18,0.0,31675.24,0.1899,30585.0,200.0
Company 19,0.0,61335.0,0.1768,0.0,4256.87
Company 20,84726.21,394459.14,0.0433,377992.0,
Company 21,39281.0,139649.0,0.027,142910.0,769.0
Company 22,,,0.0635,355471.0,22051.43
Company 23,41411.0,267298.0,0.2034,1265201.0,7588.0
Company 24,3212939.0,308013510.0,0.2139,11769.0,574.0
Company 25,0.0,146957.81,0.0641,122389.08,1332.31
Company 26,0.0,385.1,0.2,496.8,20.97
Company 27,0.0,38931250.25,0.0012,6870255.0,3121454.23
Company 28,1924037.0,61232806.0,0.0555,32451.0,2170.65
Company 29,17887.0,118454.63,0.0833,101827.0,
Company 30,530.96,3980.14,0.0635,7855544.89,158998.0
Company 31,0.0,43420.0,0.3119,19946.12,191.99
Company 32,25421.0,155076.0,0.0368,861793.0,96854.0
Company 33,340.13,603699.87,0.066,4088380.4,52849.92
Company 34,75932.64,2293690.36,0.0126,10501.13,
Company 35,18329.59,1021304.18,0.3251,984952.8,11272.51
Company 36,1155852.0,1155852.0,0.1874,13583.0,
Company 37,0.0,312327.06,0.3549,540151.13,4518.16
Company 38,1109533.0,71419552.0,0.0539,4141552.0,14737570.0
Company 39,2272.07,32957.41,0.2435,19025.0,39.79
Company 40,0.0,2722654.92,0.003,3732778.0,214342.13
Company 41,0.0,721358.25,0.0362,655615.0,
Company 42,3343.52,103512.03,0.148,132267.45,2081.57
Company 43,26296.0,28566.0,0.043,11606.0,171.71
Company 44,21689.0,2696106.0,0.1958,128286.0,23218.0
Company 45,0.0,104678.26,0.1117,17848.06,2052.1
Company 46,312379.08,697738.69,0.1965,584959.0,6941.54
Company 47,1633714772.47,8078385954.66,0.0273,3472565.0,595010.0
Company 48,0.0,18334851.07,0.1464,10904.5,0.0
Company 49,0.0,138098870.0,0.06,17296.0,7316.37
Company 50,172731.82,1898004.6,0.0646,443989.0,2157.0
Company 51,1993.4,67153.9,0.2871,534052.8,93.4
Company 52,0.0,587701.55,0.0616,141720.0,31334.0
Company 53,28238.0,39717.91,0.117,26019.0,1183.47
Company 54,0.0,180390.47,0.1261,343305.0,1365.43
Company 55,36401.52,106614.15,0.1314,56863.0,295.5
Company 56,26803.73,485087.04,0.0602,94086.0,1657.22
Company 57,35983177.0,851214381.0,0.2323,503608.0,26047.0
Company 58,7614.56,24005.49,0.0603,115780.0,306.24
Company 59,0.0,376077.0,0.0203,85265.0,487.0
Company 60,,,,,
Company 61,105.0,1421.0,0.0901,388962.0,54519.0
Company 62,48954.0,198543.0,0.0146,96219.0,4773.0
Company 63,56300.0,70258.0,0.2439,46701.0,653.23
Company 64,105223.0,17892903.0,0.0949,1616271.0,1702995.0
Company 65,13476.08,3053863.54,0.0502,2765681.65,110731.1
Company 66,,,0.0,0.0,
Company 67,0.0,133829.0,0.063,55464.0,2009.0
Company 68,57887.82,770531.08,0.0688,329361.64,30127.38
Company 69,323398.0,3283998.0,0.1122,2071058.0,63388.0
Company 70,157554.0,1430762.0,0.0584,296168.0,29061.0
Company 71,6988.91,56278.65,0.0821,43837.94,1498.16
Company 72,4392.96,540703.89,0.0809,462385.0,23673.09
Company 73,1772.98,13023.57,0.2667,3467.5,
Company 74,222192.0,479722.0,0.1191,263895.0,
Company 75,,,0.0,0.0,
Company 76,0.0,38709.01,0.3885,50025.0,1126.6
Company 77,0.0,771.0,0.1804,1800.0,12.6
Company 78,0.0,945398.0,0.0275,0.0,
Company 79,8830.45,108514.88,0.1489,288502.71,1552.0
Company 80,46900.0,231598.0,0.1116,135070.0,1601.0
Company 81,80.51,2251.85,0.335,4499.34,8.03
Company 82,489804.95,228151533.52,0.0564,156314699.23,32085981.42
Company 83,13896698400.0,50202295833.59,0.2127,683258.42,2199.99
Company 84,0.25,3999.66,0.0245,3365359.0,338239.0
Company 85,20561.0,24939372.0,0.025,14865690.0,1503917.0
Company 86,277828.0,1388213.0,0.0281,907155.0,31243.0
Company 87,511086.0,6361345.0,0.0887,5036970.0,256451.0
Company 88,0.0,12754.09,0.2387,12906.0,25.59
Company 89,1659489.0,11873758.0,0.0591,52414.0,38349600.0
Company 90,17283.0,1764292.0,0.2247,926067.0,32796.0
Company 91,0.0,5916.0,0.1829,0.0,21.0
Company 92,114688.06,3878561.63,0.0249,272718.33,298651.43
Company 93,102516.0,2622794.0,0.1698,7230916.0,79331.0
Company 94,0.0,6981.11,0.077,12464900.0,75.16
Company 95,1111.87,18254.6,0.1095,7073.0,528.09
Company 96,498.74,13112.1,0.0418,1135296.63,3451629.0
Company 97,1492328.0,111691853.0,0.0313,3668287.0,22594612.0
Company 98,2555.0,1096564.0,0.2535,1211828.0,10075.0
Company 99,0.0,210866.0,0.0638,4887800.0,7068.59
Company 100,0.0,280633.39,0.2211,0.0,
Company 101,211.79,435.3,0.0682,240167.0,9208.4
Company 102,950.51,57520030.47,0.095,84057523.0,5515193.14
Company 103,116.69,70562.99,0.1968,0.0,601.8
Company 104,386690.0,3007598.0,0.0768,7201000.0,38866.0
Company 105,0.0,780.52,0.5533,3729.47,0.0
Company 106,13933.0,199202.0,0.0705,163323.0,15680.0
Company 107,1744.0,11114.33,0.0538,20128.66,621.97
Company 108,352497.0,10536478.0,0.099,5543209.0,750616.0
Company 109,215759.0,2211447.0,0.0427,312204.0,100686.0
Company 110,230101.0,1430920.0,0.106,1482966.0,79686.0
Company 111,683014.0,361222833.0,0.1046,3704563485.0,26066679.0
Company 112,319.49,95129.57,0.0855,581006.07,233.71
Company 113,0.0,115497.16,0.1439,138128.0,2798.92
Company 114,0.0,698.53,0.0388,88.0,0.0
Company 115,696.0,70736.0,0.2721,118835.0,2680.99
Company 116,2.72,1967.93,0.0365,51864.96,106825.14
Company 117,18487713.0,18583180.0,0.3856,38030153.0,
Company 118,34.0,503.0,0.2543,468556.0,41722.0
Company 119,1484.0,395395.0,0.0268,1146186.0,116135.0
Company 120,16847.0,427444.0,0.0826,144909.0,5700.0
Company 121,6160.0,227453.0,0.0633,81703.87,10375.41
Company 122,384000.0,3885000.0,0.0457,62606.7,856128.0
Company 123,8.11,44.27,0.0135,24749.0,
Company 124,47976815.52,539842081.37,0.0552,939809.0,7841.88
Company 125,651116.0,3294221.0,0.1302,3050611.0,80319.0
Company 126,0.0,762433200000.0,0.1861,43.6,1.4
Company 127,58.34,16974.37,0.0808,149301.0,5.29
Company 128,12192.57,371463.4,0.0753,195043.4,31818.0
Company 129,0.0,6506449.0,0.0256,6964735.0,243947.0
Company 130,0.0,136.49,0.014,0.0,
Company 131,14800.31,32045.76,0.3167,93911.0,670.0
Company 132,51310.0,2333800.0,0.1809,13789.0,0.0
Company 133,280.79,2613.46,0.0181,332068.0,2000950.0
Company 134,0.0,0.0,0.0,0.0,
Company 135,11779.61,65959.43,0.0604,72422.56,29303.26
Company 136,10659.0,2413420.0,0.0665,448461.0,128853.0
Company 137,11763.2,19815.17,0.3017,19386.0,546.43
Company 138,12680.8,162032.0,0.0499,138431.0,5881.0
Company 139,39945.0,793655.46,0.0848,1352877.0,9392.0
Company 140,0.0,62464.79,0.1112,38822.0,1269.33
Company 141,0.0,11487.65,0.2356,8507.35,156.5
Company 142,0.0,86899.89,0.0727,10524.9,1332.52
Company 143,21617.0,322531.6,0.5169,535991.0,5352.6
Company 144,0.0,13.82,0.1609,2609.28,
Company 145,530790.0,2697120.0,0.0242,992253.0,78486.0
Company 146,7501.0,190730.0,0.0368,41060.0,1558.0
Company 147,10109.82,14644675.24,0.0408,4577381.33,259274.29
