Metric,Linear_Weight,Target_Company_Value,Industry_Average,Industry_Median,Status,Peer_Values
Percentage Of Employees Or Worker For Performance And Career Development - Female Member - Employees Member,0.240866,0.8608,0.7785,0.8633,Outperforming,"{'Hdfc Bank Limited': 0.8608, 'Icici Bank Limited': 0.9816, 'Kotak Mahindra Bank Limited': 0.7473, 'Axis Bank Limited': 0.8814, 'Indusind Bank Limited': 0.5546, 'Idbi Bank Limited': 0.7711, 'Yes Bank Limited': 0.8141, 'Idfc First Bank Limited': 0.0, 'The Federal Bank  Limited': 0.9636, 'Bandhan Bank Limited': 0.8658, 'Karur Vysya Bank Limited': 0.9501, 'Rbl Bank Limited': 0.5091, 'The Jammu & Kashmir Bank Limited': 1.0, 'City Union Bank Limited': 1.0}"
Whether Details Of Total Energy Consumption And Energy Intensity Applicable To The Company,0.236011,,,,N/A,{}
Percentage Of Differently Abled Employees Or Workers - Male Member - Permanent Employees Member,0.123013,0.7925,0.8039,0.8091,Underperforming,"{'Hdfc Bank Limited': 0.7925, 'Icici Bank Limited': 0.8696, 'Kotak Mahindra Bank Limited': 0.7778, 'Axis Bank Limited': 0.8256, 'Indusind Bank Limited': 0.6407, 'Idbi Bank Limited': 0.7425, 'Yes Bank Limited': 0.8649, 'Idfc First Bank Limited': 0.9375, 'The Federal Bank  Limited': 0.5334, 'Bandhan Bank Limited': 1.0, 'Karur Vysya Bank Limited': 0.75, 'Rbl Bank Limited': 0.8889, 'The Jammu & Kashmir Bank Limited': 0.8812, 'City Union Bank Limited': 0.75}"
Percentage Of Shares Held By Listed Entity - Holding Subsidiary Associate Companies And Joint Ventures Domain1,0.077743,1.0,0.969,1.0,Outperforming,"{'Hdfc Bank Limited': 1.0, 'Icici Bank Limited': 1.0, 'Kotak Mahindra Bank Limited': 1.0, 'Axis Bank Limited': 1.0, 'Indusind Bank Limited': 1.0, 'Idbi Bank Limited': 0.6667, 'Yes Bank Limited': 0.9928, 'Idfc First Bank Limited': 1.0, 'The Federal Bank  Limited': 1.0, 'Rbl Bank Limited': 1.0, 'The Jammu & Kashmir Bank Limited': 1.0}"
Percentage Of Employees Or Workers Related To Minimum Wages - More Than Minimum Wage Member - Female Member - Permanent Employees Member,0.06904,1.0,0.9027,1.0,Outperforming,"{'Hdfc Bank Limited': 1.0, 'Icici Bank Limited': 0.0, 'Kotak Mahindra Bank Limited': 0.7144, 'Axis Bank Limited': 1.0, 'Indusind Bank Limited': 1.0, 'Idbi Bank Limited': 1.0, 'Yes Bank Limited': 1.0, 'Idfc First Bank Limited': 1.0, 'The Federal Bank  Limited': 1.0, 'Bandhan Bank Limited': 0.9229, 'Karur Vysya Bank Limited': 1.0, 'Rbl Bank Limited': 1.0, 'The Jammu & Kashmir Bank Limited': 1.0, 'City Union Bank Limited': 1.0}"
Return To Work Rate Permanent Employees That Took Parental Leave - Female Member,0.065645,97.28,95.7221,99.25,Outperforming,"{'Hdfc Bank Limited': 97.28, 'Icici Bank Limited': 99.9, 'Kotak Mahindra Bank Limited': 99.7, 'Axis Bank Limited': 99.7, 'Indusind Bank Limited': 98.47, 'Idbi Bank Limited': 85.0, 'Yes Bank Limited': 99.4, 'Idfc First Bank Limited': 99.1, 'The Federal Bank  Limited': 99.58, 'Bandhan Bank Limited': 81.48, 'Karur Vysya Bank Limited': 100.0, 'Rbl Bank Limited': 95.0, 'The Jammu & Kashmir Bank Limited': 100.0, 'City Union Bank Limited': 85.5}"
Battery Waste,0.053853,34.13,44.9813,34.305,Underperforming,"{'Hdfc Bank Limited': 34.13, 'Icici Bank Limited': 66.71, 'Kotak Mahindra Bank Limited': 30.8, 'Axis Bank Limited': 34.48, 'Indusind Bank Limited': 0.0, 'Idbi Bank Limited': 90.62, 'Yes Bank Limited': 43.5488, 'Idfc First Bank Limited': 99.46, 'The Federal Bank  Limited': 118.15, 'Bandhan Bank Limited': 0.0, 'Karur Vysya Bank Limited': 111.84, 'Rbl Bank Limited': 0.0, 'The Jammu & Kashmir Bank Limited': 0.0, 'City Union Bank Limited': 0.0}"
Percentage Of Beneficiaries From Vulnerable And Marginalized Groups - CSRProjects6,0.035013,,0.8111,1.0,N/A,"{'Icici Bank Limited': 0.9, 'Kotak Mahindra Bank Limited': 0.0, 'Indusind Bank Limited': 0.7, 'Idbi Bank Limited': 1.0, 'Idfc First Bank Limited': 1.0, 'The Federal Bank  Limited': 1.0, 'Bandhan Bank Limited': 1.0, 'Karur Vysya Bank Limited': 0.7, 'The Jammu & Kashmir Bank Limited': 1.0}"
Total Scope1 And Scope2 Emissions Intensity The Relevant Metric May Be Selected By The Entity - Previous Year,0.032936,,1.783,1.325,N/A,"{'Icici Bank Limited': 0.9, 'Kotak Mahindra Bank Limited': 1.21, 'Axis Bank Limited': 1.59, 'Indusind Bank Limited': 1.44, 'Idbi Bank Limited': 0.83, 'Yes Bank Limited': 1.46, 'Idfc First Bank Limited': 0.0, 'The Federal Bank  Limited': 2.1, 'Rbl Bank Limited': 8.3, 'City Union Bank Limited': 0.0}"
Safe And Responsible Usage As APercentage To Total Turnover,0.014863,0.0,0.2264,0.0,Underperforming,"{'Hdfc Bank Limited': 0.0, 'Icici Bank Limited': 0.169, 'Kotak Mahindra Bank Limited': 0.0, 'Axis Bank Limited': 0.0, 'Indusind Bank Limited': 1.0, 'Idbi Bank Limited': 0.0, 'Yes Bank Limited': 1.0, 'Idfc First Bank Limited': 0.0, 'The Federal Bank  Limited': 0.0, 'Bandhan Bank Limited': 0.0, 'Karur Vysya Bank Limited': 0.0, 'Rbl Bank Limited': 0.0, 'The Jammu & Kashmir Bank Limited': 0.0, 'City Union Bank Limited': 1.0}"
